日付S,場所,Ｒ,クラス,枠番,馬番,馬名,年齢,単オッズ,人気,騎手,所属,調教師,馬主,芝ダ,距離,マイニング値,マイニング順位,ﾏｲ差
2026.6.21,函館,1,未勝利,1,1, ソルトアイリス,3,,,舟山瑠泉,(栗),四位洋文,杉浦敏夫,芝,1200,69.21,7, 0.22
2026.6.21,函館,1,未勝利,1,2, キミノナハオリョウ,3,,,国分恭介,(栗),千田輝彦,浦野和由,芝,1200,69.33,11, 0.34
2026.6.21,函館,1,未勝利,2,3, バレンタインビスタ,3,,,武豊,(美),蛯名正義,中村伊三美,芝,1200,68.99,1,-0.13
2026.6.21,函館,1,未勝利,2,4, スワトウ,3,,,小沢大仁,(栗),牧田和弥,吉田照哉,芝,1200,69.15,3, 0.16
2026.6.21,函館,1,未勝利,3,5, エビスディアーナ,3,,,古川奈穂,(美),加藤征弘,加藤晃央,芝,1200,69.67,14, 0.68
2026.6.21,函館,1,未勝利,3,6, クリーンブーケ,3,,,吉田隼人,(栗),荒川義之,石橋和夫,芝,1200,69.32,10, 0.33
2026.6.21,函館,1,未勝利,4,7, ルージュフローラ,3,,,古川吉洋,(美),森一誠,東京ホースレーシング,芝,1200,69.16,4, 0.17
2026.6.21,函館,1,未勝利,4,8, ファインコンダクト,3,,,横山武史,(美),久保田貴,窪田芳郎,芝,1200,69.24,8, 0.25
2026.6.21,函館,1,未勝利,5,9, エコロアビス,3,,,丹内祐次,(栗),牧浦充徳,原村正紀,芝,1200,69.12,2, 0.13
2026.6.21,函館,1,未勝利,5,10, スプリングドリーム,3,,,佐々木大,(美),加藤士津,野村茂雄,芝,1200,69.17,5, 0.18
2026.6.21,函館,1,未勝利,6,11, ハルヒメ,3,,,長浜鴻緒,(美),矢嶋大樹,大島有志生,芝,1200,69.28,9, 0.29
2026.6.21,函館,1,未勝利,6,12, ノーブルマドンナ,3,,,和田陽希,(栗),藤野健太,伊藤昭文,芝,1200,70.69,16, 1.70
2026.6.21,函館,1,未勝利,7,13, トリアングルレディ,3,,,岩田康誠,(美),尾関知人,ターフ・スポート,芝,1200,69.44,12, 0.45
2026.6.21,函館,1,未勝利,7,14, ミレニアルピンク,3,,,斎藤新,(栗),安田翔伍,金子真人ホールディングス,芝,1200,69.19,6, 0.20
2026.6.21,函館,1,未勝利,8,15, ブリリアンブルーム,3,,,小林美駒,(栗),西村真幸,宮崎俊也,芝,1200,70.16,15, 1.17
2026.6.21,函館,1,未勝利,8,16, チャーミングアイ,3,,,大久保友,(美),菊川正達,丸岡啓一,芝,1200,69.45,13, 0.46
2026.6.21,函館,2,未勝利,1,1, ハイドパーク,3,,,国分恭介,(栗),田中克典,ヒダカ・ブリーダーズ・ユニオン,ダ,2400,156.70,4, 1.31
2026.6.21,函館,2,未勝利,2,2, ポップアップ,3,,,佐々木大,(栗),寺島良,石川達絵,ダ,2400,156.87,5, 1.48
2026.6.21,函館,2,未勝利,3,3, ウインモンクール,3,,,丹内祐次,(栗),新谷功一,ウイン,ダ,2400,156.60,3, 1.21
2026.6.21,函館,2,未勝利,4,4, キヨタリート,3,,,舟山瑠泉,(栗),小崎憲,キヨタケ牧場,ダ,2400,156.38,2, 0.99
2026.6.21,函館,2,未勝利,5,5, ラヴィニアパーク,3,,,岩田康誠,(美),大竹正博,キャロットファーム,ダ,2400,157.04,6, 1.65
2026.6.21,函館,2,未勝利,6,6, マーゴットデウス,3,,,小沢大仁,(栗),今野貞一,前田良平,ダ,2400,157.45,7, 2.06
2026.6.21,函館,2,未勝利,6,7, テンカフブ,3,,,川又賢治,(栗),吉村圭司,岡浩二,ダ,2400,158.11,9, 2.72
2026.6.21,函館,2,未勝利,7,8, ロードステラート,3,,,横山武史,(栗),武英智,ロードホースクラブ,ダ,2400,155.39,1,-0.99
2026.6.21,函館,2,未勝利,7,9, ジャストグレース,3,,,古川吉洋,(栗),大根田裕,宮川純造,ダ,2400,158.08,8, 2.69
2026.6.21,函館,2,未勝利,8,10, トーセンアミューズ,3,,,長浜鴻緒,(美),加藤征弘,島川隆哉,ダ,2400,158.84,11, 3.45
2026.6.21,函館,2,未勝利,8,11, フクチャンブラック,3,,,松本大輝,(栗),高橋康之,福盛訓之,ダ,2400,158.36,10, 2.97
2026.6.21,函館,3,未勝利,1,1, ステキサプライズ,3,,,長浜鴻緒,(美),粕谷昌央,小田切統二,ダ,1000,60.31,8, 0.71
