場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,日付S,所属,種牡馬名,母名,現馬主名,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260611,木,5:29,ファイナルコマンド,,牡,3,0,東田明士,,138.7,118.6,99.7,83.6,69.4,54.6,38.5,23.8,11.9,20.1,18.9,16.1,14.2,14.8,16.1,14.7,11.9,11.9,2026.6.11,栗東,キタノコマンドール,ファイナルドリーム,DMMドリームクラブ,
栗東,C,右,20260617,水,5:29,ファイナルコマンド,,牡,3,0,東田明士,,155.6,129.0,105.9,86.1,69.5,53.8,37.2,23.1,11.4,26.6,23.1,19.8,16.6,15.7,16.6,14.1,11.7,11.4,2026.6.17,栗東,キタノコマンドール,ファイナルドリーム,DMMドリームクラブ,
栗東,C,右,20260610,水,8:25,ミヤノラングリー,,牡,3,0,石橋守,,169.5,148.2,126.0,105.9,87.5,69.5,51.5,33.3,16.4,21.3,22.2,20.1,18.4,18.0,18.0,18.2,16.9,16.4,2026.6.10,栗東,ナダル,ツボミ,宮副敏明,
栗東,C,右,20260611,木,6:48,ミヤノラングリー,,牡,3,0,石橋守,,142.6,122.1,102.1,83.7,67.8,52.6,37.8,23.3,11.5,20.5,20.0,18.4,15.9,15.2,14.8,14.5,11.8,11.5,2026.6.11,栗東,ナダル,ツボミ,宮副敏明,
栗東,C,右,20260612,金,5:31,ペコリズム,,牝,3,0,森田直行,,,,,,,82.2,61.7,41.0,20.3,,,,,,20.5,20.7,20.7,20.3,2026.6.12,栗東,タワーオブロンドン,アイリッシュペコ,林正道,
栗東,C,右,20260613,土,5:17,ペコリズム,,牝,3,0,森田直行,,,,,,,71.8,53.0,35.4,17.4,,,,,,18.8,17.6,18.0,17.4,2026.6.13,栗東,タワーオブロンドン,アイリッシュペコ,林正道,
栗東,C,左,20260614,日,5:17,ペコリズム,,牝,3,0,森田直行,,,,,,107.8,83.0,60.7,40.2,20.5,,,,,24.8,22.3,20.5,19.7,20.5,2026.6.14,栗東,タワーオブロンドン,アイリッシュペコ,林正道,
栗東,C,左,20260616,火,8:26,ペコリズム,,牝,3,0,森田直行,,,,,,98.5,74.6,54.2,35.7,18.9,,,,,23.9,20.4,18.5,16.8,18.9,2026.6.16,栗東,タワーオブロンドン,アイリッシュペコ,林正道,
栗東,C,右,20260617,水,6:17,ペコリズム,,牝,3,0,森田直行,,,,,,,72.7,53.1,35.5,17.7,,,,,,19.6,17.6,17.8,17.7,2026.6.17,栗東,タワーオブロンドン,アイリッシュペコ,林正道,
栗東,C,右,20260610,水,8:16,アイアン,,牡,3,0,辻野泰之,,,,,87.6,71.5,56.3,40.2,24.5,11.7,,,,16.1,15.2,16.1,15.7,12.8,11.7,2026.6.10,栗東,レイデオロ,マニヤラ,石川達絵,
